id,kanji,reading,char,on,kun,strokes
869,未満,みまん,未,ミ・ビ,いま.だ・ま.だ・ひつじ,5
869,未満,みまん,満,マン・バン,み.ちる・み.つ・み.たす,12
870,名字,みょうじ,名,メイ・ミョウ,な・-な,6
870,名字,みょうじ,字,ジ,あざ・あざな・-な,6
871,民謡,みんよう,民,ミン,たみ,5
871,民謡,みんよう,謡,ヨウ,うた.い・うた.う,16
872,無限,むげん,無,ム・ブ,な.い,12
872,無限,むげん,限,ゲン,かぎ.る・かぎ.り・-かぎ.り,9
873,矛盾,むじゅん,矛,ム・ボウ,ほこ,5
873,矛盾,むじゅん,盾,ジュン,たて,9
874,紫,むらさき,紫,シ,むらさき,12
875,群れ,むれ,群,グン,む.れる・む.れ・むら・むら.がる,13
876,姪,めい,姪,テツ・チツ・ジチ・イツ・イチ,めい・おい,9
877,名作,めいさく,名,メイ・ミョウ,な・-な,6
877,名作,めいさく,作,サク・サ,つく.る・つく.り・-づく.り,7
878,名所,めいしょ,名,メイ・ミョウ,な・-な,6
878,名所,めいしょ,所,ショ,ところ・-ところ・どころ・とこ,8
879,迷信,めいしん,迷,メイ,まよ.う,9
879,迷信,めいしん,信,シン,,9
880,名物,めいぶつ,名,メイ・ミョウ,な・-な,6
880,名物,めいぶつ,物,ブツ・モツ,もの・もの-,8
881,目覚し,めざまし,目,モク・ボク,め・-め・ま-,5
881,目覚し,めざまし,覚,カク,おぼ.える・さ.ます・さ.める・さと.る,12
882,目下,めした,目,モク・ボク,め・-め・ま-,5
882,目下,めした,下,カ・ゲ,した・しも・もと・さ.げる・さ.がる・くだ.る・くだ.り・くだ.す・-くだ.す・くだ.さる・お.ろす・お.りる,3
883,目印,めじるし,目,モク・ボク,め・-め・ま-,5
883,目印,めじるし,印,イン,しるし・-じるし・しる.す,6
885,目安,めやす,目,モク・ボク,め・-め・ま-,5
885,目安,めやす,安,アン,やす.い・やす.まる・やす・やす.らか,6
886,免税,めんぜい,免,メン,まぬか.れる・まぬが.れる,8
886,免税,めんぜい,税,ゼイ,,12
887,面積,めんせき,面,メン・ベン,おも・おもて・つら,9
887,面積,めんせき,積,セキ,つ.む・-づ.み・つ.もる・つ.もり,16
889,木材,もくざい,木,ボク・モク,き・こ-,4
889,木材,もくざい,材,ザイ,,7
890,目次,もくじ,目,モク・ボク,め・-め・ま-,5
890,目次,もくじ,次,ジ・シ,つ.ぐ・つぎ,6
891,餅,もち,餅,ヘイ・ヒョウ,もち・もちい,14
893,物置,ものおき,物,ブツ・モツ,もの・もの-,8
893,物置,ものおき,置,チ,お.く・-お.き,13
894,物差し,ものさし,物,ブツ・モツ,もの・もの-,8
894,物差し,ものさし,差,サ,さ.す・さ.し,10
896,紅葉,もみじ,紅,コウ・ク,べに・くれない・あか.い,9
896,紅葉,もみじ,葉,ヨウ,は,12
897,催し,もよおし,催,サイ,もよう.す・もよお.す,13
898,問答,もんどう,問,モン,と.う・と.い・とん,11
898,問答,もんどう,答,トウ,こた.える・こた.え,12
899,夜間,やかん,夜,ヤ,よ・よる,8
899,夜間,やかん,間,カン・ケン,あいだ・ま・あい,12
900,役者,やくしゃ,役,ヤク・エキ,,7
900,役者,やくしゃ,者,シャ,もの,8
901,役所,やくしょ,役,ヤク・エキ,,7
901,役所,やくしょ,所,ショ,ところ・-ところ・どころ・とこ,8
902,役人,やくにん,役,ヤク・エキ,,7
902,役人,やくにん,人,ジン・ニン,ひと・-り・-と,2
903,薬品,やくひん,薬,ヤク,くすり,16
903,薬品,やくひん,品,ヒン・ホン,しな,9
904,役目,やくめ,役,ヤク・エキ,,7
904,役目,やくめ,目,モク・ボク,め・-め・ま-,5
905,火傷,やけど,火,カ,ひ・-び・ほ-,4
905,火傷,やけど,傷,ショウ,きず・いた.む・いた.める,13
906,夜行,やこう,夜,ヤ,よ・よる,8
906,夜行,やこう,行,コウ・ギョウ・アン,い.く・ゆ.く・-ゆ.き・-ゆき・-い.き・-いき・おこな.う・おこ.なう,6
907,矢印,やじるし,矢,シ,や,5
907,矢印,やじるし,印,イン,しるし・-じるし・しる.す,6
908,薬局,やっきょく,薬,ヤク,くすり,16
908,薬局,やっきょく,局,キョク,つぼね,7
909,家主,やぬし,家,カ・ケ,いえ・や・うち,10
909,家主,やぬし,主,シュ・ス・シュウ,ぬし・おも・あるじ,5
910,遊園地,ゆうえんち,遊,ユウ・ユ,あそ.ぶ・あそ.ばす,12
910,遊園地,ゆうえんち,園,エン,その,13
910,遊園地,ゆうえんち,地,チ・ジ,,6
911,夕刊,ゆうかん,夕,セキ,ゆう,3
911,夕刊,ゆうかん,刊,カン,,5
912,郵送,ゆうそう,郵,ユウ,,11
912,郵送,ゆうそう,送,ソウ,おく.る,9
913,夕立,ゆうだち,夕,セキ,ゆう,3
913,夕立,ゆうだち,立,リツ・リュウ・リットル,た.つ・-た.つ・た.ち-・た.てる・-た.てる・た.て-・たて-・-た.て・-だ.て・-だ.てる,5
914,夕日,ゆうひ,夕,セキ,ゆう,3
914,夕日,ゆうひ,日,ニチ・ジツ,ひ・-び・-か,4
915,浴衣,ゆかた,浴,ヨク,あ.びる・あ.びせる,10
915,浴衣,ゆかた,衣,イ・エ,ころも・きぬ・-ぎ,6
